Project Name,Category
Rend-o-matic,Cross-Technology
Rook,Storage
SchemaHero,Cloud
TarsGateway,Cloud
TarsBenchmark,Cloud
RUGS (R User Groups),Open Source Compliance
SPDM-RS,Privacy & Security
Software Discovery Tool,Open Source Compliance
Secure Open Source Rewards,Privacy & Security
Servo Project,Web App Development
Thanos,Cloud
Reactive Streams,AI / ML / Data Analytics
seL4 Foundation,Safety-Critical Systems
The Linux Kernel Organization,Linux Kernel
Test Project IT,Blockchain
SOAJS,AI / ML / Data Analytics
Ratify,Cloud
RSocket,AI / ML / Data Analytics
Real-Time Linux (RTL),Linux Kernel
State of the Edge,IoT & Embedded
SampleVNF,Networking & Edge
SEAPATH,System Engineering
Spinnaker,DevOps
REST API Specification,Web App Development
SONiC Fund,Networking & Edge
SBOMit,Cross-Technology
SPIRE,DevOps
RISC-V International,Open Hardware
sigstore,Cross-Technology
SlimToolkit,Cloud
Serverless Workflow Specification,Cloud
TarsTools,Cloud
Submariner,Cloud
Software-Enabled Flash,Storage
Spack,Cross-Technology
Releng,Networking & Edge
TARS Project,Cloud
TarsPHP,Cloud
TARS Foundation,System Engineering
RISE Project,IoT & Embedded
Stor4NFV,Networking & Edge
Tessia,System Administration
The Hypervisor,Cloud
SOGNO,Cross-Technology
set-simulator-location,Web App Development
Tekton,DevOps
Strimzi,AI / ML / Data Analytics
Shipwright,DevOps
Symphony BDK Java,Web App Development
Salus,AI / ML / Data Analytics
SPDX,Privacy & Security
Service Mesh Performance,Cloud
SD-JWT Rust Reference Implementation,Cross-Technology
Serverless Devs,Cloud
SPP,Networking & Edge
